company,domain,segment,ats_vendor,board_token,careers_url,job_count,verified_via,notes,other_hits
Thoughtworks,thoughtworks.com,consultancy,greenhouse,thoughtworks,https://www.thoughtworks.com/careers,41,endpoint-200,41 open roles (complete board),
TPG Telecom,tpgtelecom.com.au,telco,oracle,fa-ewlx-saasfaprod1.fa.ocs.oraclecloud.com/CX_1,https://www.tpgtelecom.com.au/careers,,endpoint-200,Oracle Recruiting Cloud,oracle-orc:fa-ewlx-saasfaprod1
Transport for NSW,transport.nsw.gov.au,gov,successfactors,,https://www.transport.nsw.gov.au/careers,,careers-deep-crawl,"found via careers-deep-crawl | vendor detected, board token needs manual confirmation",successfactors:performancemanager10; successfactors:rmkcdn; successfactors:career10
Tyro,tyro.com,fintech,teamtailor,,https://www.tyro.com/careers/,,careers-page-html,"found via careers-page-html | vendor detected, board token needs manual confirmation",teamtailor:teamtailor
Up Bank,up.com.au,fintech,ashby,up,https://up.com.au/careers/,2,endpoint-200,2 open roles (complete board),
Westpac,westpac.com.au,bank,oracle,ebuu.fa.ap1.oraclecloud.com/CX_1,https://www.westpac.com.au/about-westpac/careers/,,endpoint-200,Oracle Recruiting Cloud,oracle-orc:ebuu
Woolworths Group,woolworthsgroup.com.au,retail,avature,,https://www.woolworthsgroup.com.au/au/en/careers.html,,careers-page-html,"found via careers-page-html | vendor detected, board token needs manual confirmation",avature:avature; pageup:pageup
Zeller,myzeller.com,tech,lever,Zeller,https://www.myzeller.com/careers,20,endpoint-200,20 open roles (complete board),lever:Zeller
Athena Home Loans,athena.com.au,fintech,,,https://www.athena.com.au/careers,,,no ATS fingerprint after 1-hop crawl,rejected greenhouse:athena
Atlassian,atlassian.com,tech,,,https://www.atlassian.com/company/careers/all-jobs,,,no ATS fingerprint after 1-hop crawl,
AustralianSuper,australiansuper.com,super,,,https://www.australiansuper.com/careers,,,australiansuper.com HTTP 403,
CSIRO,csiro.au,gov,,,https://www.csiro.au/en/careers,,,csiro.au HTTP ERR,
Deloitte Australia,deloitte.com.au,consultancy,,,https://www.deloitte.com/au/en/careers.html,,,deloitte.com.au HTTP ERR,
Domain Group,domain.com.au,media,,,https://www.domain.com.au/group/careers/,,,domain.com.au HTTP 403,
Employment Hero,employmenthero.com,tech,,,https://employmenthero.com/careers/,,,no ATS fingerprint after 1-hop crawl,
Endeavour Group,endeavourgroup.com.au,retail,,,https://www.endeavourgroup.com.au/careers,,,no ATS fingerprint after 1-hop crawl,
Go1,go1.com,tech,,,https://www.go1.com/careers,,,no ATS fingerprint after 1-hop crawl,
Harrison.ai,harrison.ai,tech,,,https://harrison.ai/careers/,,,REJECTED: ashby:Harrison returns 404 (careers-markup false positive),ashby:Harrison
KPMG Australia,kpmg.com.au,consultancy,,,https://kpmg.com/au/en/careers.html,,,no ATS fingerprint after 1-hop crawl,rejected smartrecruiters:kpmgaustralia
Linktree,linktr.ee,tech,,,https://linktr.ee/s/about/careers/,,,linktr.ee HTTP 403,
Marketplacer,marketplacer.com,tech,,,https://marketplacer.com/careers/,,,no ATS fingerprint after 1-hop crawl,
Optus,optus.com.au,telco,,,https://www.optus.com.au/about/careers,,,no ATS fingerprint after 1-hop crawl,
Qantas,qantas.com,transport,,,https://www.qantas.com/au/en/about-us/careers.html,,,no ATS fingerprint after 1-hop crawl,
REA Group,rea-group.com,media,,,https://www.rea-group.com/careers/,,,no ATS fingerprint after 1-hop crawl,
Suncorp,suncorp.com.au,insurance,,,https://www.suncorpgroup.com.au/careers.html,,,no ATS fingerprint after 1-hop crawl,
Wesfarmers,wesfarmers.com.au,retail,,,https://www.wesfarmers.com.au/careers,,,no ATS fingerprint after 1-hop crawl,
Zip Co,zip.co,fintech,,,https://zip.co/au/careers,,,no ATS fingerprint after 1-hop crawl,rejected ashby:zip
TPG Telecom (CX_2),tpgtelecom.com.au,telco,oracle,fa-ewlx-saasfaprod1.fa.ocs.oraclecloud.com/CX_2,https://www.tpgtelecom.com.au/careers,,endpoint-200,"second CX site on the same tenant, different roles",
