ats_vendor,board_token,board_name,n_jobs,n_au,au_ratio,n_au_data,sample_au_role,board_url
greenhouse,ArkoseLabs,Arkose Labs,4,1,0.25,1,Security Analyst - Weekend Shift (Data Analyst),https://boards-api.greenhouse.io/v1/boards/ArkoseLabs/jobs
greenhouse,devrev,DevRev,44,1,0.023,1,AI Outcomes Manager,https://boards-api.greenhouse.io/v1/boards/devrev/jobs
greenhouse,starrez,StarRez,24,1,0.042,1,Senior Quality Engineer - AI,https://boards-api.greenhouse.io/v1/boards/starrez/jobs
ashby,infinity-constellation,,20,1,0.05,1,"Strategic Client Partner, AI & Technology",https://api.ashbyhq.com/posting-api/job-board/infinity-constellation
smartrecruiters,MinorInternational,Minor International,100,36,0.36,0,Property Accountant,https://api.smartrecruiters.com/v1/companies/MinorInternational/postings?limit=100
greenhouse,block,Block,203,32,0.158,0,"Account Manager, SMB",https://boards-api.greenhouse.io/v1/boards/block/jobs
greenhouse,wppmedia,WPP Media,1035,28,0.027,0,Connections Planning Group Director,https://boards-api.greenhouse.io/v1/boards/wppmedia/jobs
smartrecruiters,UpEducation,Up Education,62,23,0.371,0,Clinic and Campus Administrator - Melbourne,https://api.smartrecruiters.com/v1/companies/UpEducation/postings?limit=100
greenhouse,databricks,Databricks,870,21,0.024,0,Core Account Executive - Public Sector,https://boards-api.greenhouse.io/v1/boards/databricks/jobs
greenhouse,sonderaustralia,Sonder.io,41,20,0.488,0,Account Executive - Small Business,https://boards-api.greenhouse.io/v1/boards/sonderaustralia/jobs
greenhouse,remotecom,Remote,201,18,0.09,0,"HR Specialist, Contracts Management - APAC",https://boards-api.greenhouse.io/v1/boards/remotecom/jobs
greenhouse,mongodb,MongoDB,413,14,0.034,0,Associate TSE II,https://boards-api.greenhouse.io/v1/boards/mongodb/jobs
greenhouse,nurix,Nurix,23,14,0.609,0,"Associate Director, Computer Systems Assurance (Quality)",https://boards-api.greenhouse.io/v1/boards/nurix/jobs
ashby,legora,,283,14,0.049,0,Platform Specialist - Sydney,https://api.ashbyhq.com/posting-api/job-board/legora
greenhouse,stripe,Stripe,615,13,0.021,0,"Account Executive, Platforms (Existing Business)",https://boards-api.greenhouse.io/v1/boards/stripe/jobs
greenhouse,weploy,Weploy,18,12,0.667,0,Account Executive,https://boards-api.greenhouse.io/v1/boards/weploy/jobs
greenhouse,braze,Braze,281,10,0.036,0,"Account Executive, Enterprise",https://boards-api.greenhouse.io/v1/boards/braze/jobs
greenhouse,datadog,Datadog,441,10,0.023,0,Commercial Account Executive,https://boards-api.greenhouse.io/v1/boards/datadog/jobs
greenhouse,speechify,Speechify,1099,10,0.009,0,"Senior Software Engineer, Core Experiences - Brisbane, Australia",https://boards-api.greenhouse.io/v1/boards/speechify/jobs
greenhouse,systemstechnologyresearch,STR,135,9,0.067,0,Embedded Systems Emulation Engineer,https://boards-api.greenhouse.io/v1/boards/systemstechnologyresearch/jobs
greenhouse,unispace,Unispace,47,9,0.191,0,Business Development Executive (Asian market) ,https://boards-api.greenhouse.io/v1/boards/unispace/jobs
greenhouse,verkada,Verkada,289,9,0.031,0,"Account Executive, Sydney",https://boards-api.greenhouse.io/v1/boards/verkada/jobs
greenhouse,woolpert,Woolpert,110,9,0.082,0,Architect/Designer,https://boards-api.greenhouse.io/v1/boards/woolpert/jobs
ashby,Fulcrum,,10,9,0.9,0,Marketing Director ,https://api.ashbyhq.com/posting-api/job-board/Fulcrum
greenhouse,anthropic,Anthropic,593,8,0.013,0,"Community Engagement Manager, Data Centres (Australia)",https://boards-api.greenhouse.io/v1/boards/anthropic/jobs
greenhouse,netskope,Netskope,137,8,0.058,0,Global Systems Integrator Alliances Director,https://boards-api.greenhouse.io/v1/boards/netskope/jobs
greenhouse,veeamsoftware,Veeam Software,236,8,0.034,0,Account Executive Commercial Inside Sales,https://boards-api.greenhouse.io/v1/boards/veeamsoftware/jobs
ashby,Sitemate,,15,8,0.533,0,Sales Development Representative,https://api.ashbyhq.com/posting-api/job-board/Sitemate
ashby,Zip,,121,8,0.066,0,Commercial Account Executive ,https://api.ashbyhq.com/posting-api/job-board/Zip
greenhouse,interworks,InterWorks,20,7,0.35,0,Recruitment Coordinator ,https://boards-api.greenhouse.io/v1/boards/interworks/jobs
ashby,halter,,237,7,0.03,0,Country Director - Australia ,https://api.ashbyhq.com/posting-api/job-board/halter
ashby,harvey,,342,7,0.02,0,"Technical Account Manager, APAC",https://api.ashbyhq.com/posting-api/job-board/harvey
greenhouse,OKX,OKX,339,6,0.018,0,Affiliate BD Manager,https://boards-api.greenhouse.io/v1/boards/OKX/jobs
greenhouse,aloyoga, ALO,1106,6,0.005,0,Assistant Store Manager - Chatswood Chase,https://boards-api.greenhouse.io/v1/boards/aloyoga/jobs
greenhouse,focusfinancialpartners,Focus Financial Partners,31,6,0.194,0,"Associate, Wealth Management",https://boards-api.greenhouse.io/v1/boards/focusfinancialpartners/jobs
greenhouse,intercom,Fin,131,6,0.046,0,"Account Executive, Mid Market",https://boards-api.greenhouse.io/v1/boards/intercom/jobs
greenhouse,psiquantum,PsiQuantum,71,6,0.085,0,"Director, Australia Finance",https://boards-api.greenhouse.io/v1/boards/psiquantum/jobs
greenhouse,theiconic,THE ICONIC,8,6,0.75,0, Category Buyer - Women's Mainstream (Accessories),https://boards-api.greenhouse.io/v1/boards/theiconic/jobs
greenhouse,workato,Workato,101,6,0.059,0,Enterprise Account Executive,https://boards-api.greenhouse.io/v1/boards/workato/jobs
ashby,Lorikeet,,10,6,0.6,0,Pitch us a role,https://api.ashbyhq.com/posting-api/job-board/Lorikeet
ashby,cursor,,124,6,0.048,0,Field Engineer - ANZ,https://api.ashbyhq.com/posting-api/job-board/cursor
greenhouse,klaviyo,Klaviyo,142,5,0.035,0,Business Development Representative,https://boards-api.greenhouse.io/v1/boards/klaviyo/jobs
greenhouse,mejuri,Mejuri,141,5,0.035,0,3IC (Retail) (Full-time),https://boards-api.greenhouse.io/v1/boards/mejuri/jobs
greenhouse,mixpanel,Mixpanel,84,5,0.06,0,"Head of Sales ANZ, Sydney ",https://boards-api.greenhouse.io/v1/boards/mixpanel/jobs
greenhouse,newrelic,New Relic,47,5,0.106,0,Sales Development Representative,https://boards-api.greenhouse.io/v1/boards/newrelic/jobs
greenhouse,onrunning,On,302,5,0.017,0,"Area Lead, Oceania",https://boards-api.greenhouse.io/v1/boards/onrunning/jobs
greenhouse,toogoodtogo,Too Good To Go,61,5,0.082,0,Business Development Executive - Mid-market & Enterprise,https://boards-api.greenhouse.io/v1/boards/toogoodtogo/jobs
ashby,ElevenLabs,,252,5,0.02,0,Deployment Strategist - ANZ,https://api.ashbyhq.com/posting-api/job-board/ElevenLabs
ashby,Sierra,,207,5,0.024,0,Enterprise Sales Engineer,https://api.ashbyhq.com/posting-api/job-board/Sierra
ashby,decagon,,138,5,0.036,0,"Director, Strategic Accounts",https://api.ashbyhq.com/posting-api/job-board/decagon
greenhouse,axon,Axon,514,4,0.008,0,Account Executive - Public Sector,https://boards-api.greenhouse.io/v1/boards/axon/jobs
greenhouse,buildkite,Buildkite,8,4,0.5,0,Incident Management & Resilience Lead,https://boards-api.greenhouse.io/v1/boards/buildkite/jobs
greenhouse,connectwise,‎ConnectWise,51,4,0.078,0,Account Executive,https://boards-api.greenhouse.io/v1/boards/connectwise/jobs
greenhouse,diligentcorporation,Diligent Corporation,117,4,0.034,0,"Advisory & Consulting Manager, Risk & Audit",https://boards-api.greenhouse.io/v1/boards/diligentcorporation/jobs
greenhouse,eclipsetrading,Eclipse Trading ,18,4,0.222,0,Data Systems Team Lead,https://boards-api.greenhouse.io/v1/boards/eclipsetrading/jobs
greenhouse,figma,Figma,157,4,0.025,0,"Account Executive, Enterprise (Sydney or Melbourne, Australia)",https://boards-api.greenhouse.io/v1/boards/figma/jobs
greenhouse,neweratech,New Era Technology,67,4,0.06,0,APAC Growth Marketing Manager,https://boards-api.greenhouse.io/v1/boards/neweratech/jobs
greenhouse,opentable,OpenTable,101,4,0.04,0,"Engineering Manager, Private Dining",https://boards-api.greenhouse.io/v1/boards/opentable/jobs
greenhouse,purestorage,Everpure,323,4,0.012,0,"Account Executive, Federal",https://boards-api.greenhouse.io/v1/boards/purestorage/jobs
greenhouse,smartsheet,Smartsheet,91,4,0.044,0,"Account Executive, Strategic - Asia (12 month FTC)",https://boards-api.greenhouse.io/v1/boards/smartsheet/jobs
greenhouse,sonymusicentertainment,Sony Music Global Job Board,160,4,0.025,0,Accounts Executive (ANZ) - Ceremony of Roses,https://boards-api.greenhouse.io/v1/boards/sonymusicentertainment/jobs
greenhouse,toast,Toast,316,4,0.013,0,Field Implementation Technician I,https://boards-api.greenhouse.io/v1/boards/toast/jobs
greenhouse,whogivesacrap,Who Gives A Crap,10,4,0.4,0,Dream Job - Commercial Department,https://boards-api.greenhouse.io/v1/boards/whogivesacrap/jobs
greenhouse,wizinc,"Wiz, Inc.",129,4,0.031,0,"Enterprise Account Executive, Sydney",https://boards-api.greenhouse.io/v1/boards/wizinc/jobs
ashby,Ashby,,72,4,0.056,0,Product Support Specialist - Australia,https://api.ashbyhq.com/posting-api/job-board/Ashby
ashby,kong,,74,4,0.054,0,Account Development Representative (Australia),https://api.ashbyhq.com/posting-api/job-board/kong
smartrecruiters,Ergomed,Ergomed,100,4,0.04,0,Associate Medical Information Manager,https://api.smartrecruiters.com/v1/companies/Ergomed/postings?limit=100
smartrecruiters,NickScali,Nick Scali,72,4,0.056,0,Earn more at Nick Scali - Store Manager - Hobart,https://api.smartrecruiters.com/v1/companies/NickScali/postings?limit=100
greenhouse,airbnb,Airbnb,171,3,0.018,0,Business Operations and Growth Lead,https://boards-api.greenhouse.io/v1/boards/airbnb/jobs
greenhouse,cloudbeds,Cloudbeds,52,3,0.058,0,"Manager, Customer Support - ANZ",https://boards-api.greenhouse.io/v1/boards/cloudbeds/jobs
greenhouse,coalition,"Coalition, Inc.",40,3,0.075,0,Australia Marketing Associate (Contract),https://boards-api.greenhouse.io/v1/boards/coalition/jobs
greenhouse,connecteam,Connecteam,58,3,0.052,0,Account Executive (Post Sales),https://boards-api.greenhouse.io/v1/boards/connecteam/jobs
greenhouse,dialpad,Dialpad,85,3,0.035,0,Client Account Executive,https://boards-api.greenhouse.io/v1/boards/dialpad/jobs
greenhouse,dragos,Dragos,54,3,0.056,0,"Field Marketing Operations Specialist, APAC",https://boards-api.greenhouse.io/v1/boards/dragos/jobs
greenhouse,episodesixlinkedin,Episode Six US ,24,3,0.125,0,Client Project Manager,https://boards-api.greenhouse.io/v1/boards/episodesixlinkedin/jobs
greenhouse,episodesix,Episode Six,22,3,0.136,0,Client Project Manager,https://boards-api.greenhouse.io/v1/boards/episodesix/jobs
greenhouse,fivetran,Fivetran ,211,3,0.014,0,"Business Development Rep, Commercial",https://boards-api.greenhouse.io/v1/boards/fivetran/jobs
greenhouse,intersystems,InterSystems,127,3,0.024,0,Administrative Assistant,https://boards-api.greenhouse.io/v1/boards/intersystems/jobs
greenhouse,knowbe4,KnowBe4,62,3,0.048,0,"Account Executive (SMB) (Position located in Melbourne, Australia)",https://boards-api.greenhouse.io/v1/boards/knowbe4/jobs
greenhouse,lastpass,LastPass,12,3,0.25,0,Join Our Talent Community,https://boards-api.greenhouse.io/v1/boards/lastpass/jobs
greenhouse,rockstargames,Rockstar Games,66,3,0.045,0,Graphics Programmer,https://boards-api.greenhouse.io/v1/boards/rockstargames/jobs
greenhouse,shipbobinc,"ShipBob, Inc.",71,3,0.042,0,Onsite Merchant Support Specialist,https://boards-api.greenhouse.io/v1/boards/shipbobinc/jobs
greenhouse,telnyx54,Telnyx,24,3,0.125,0,"Account Executive, APAC (ANZ)",https://boards-api.greenhouse.io/v1/boards/telnyx54/jobs
greenhouse,tenableinc,"Tenable, Inc.",37,3,0.081,0,"Manager, Customer Success",https://boards-api.greenhouse.io/v1/boards/tenableinc/jobs
greenhouse,tripactions,Navan,206,3,0.015,0,Associate Account Executive,https://boards-api.greenhouse.io/v1/boards/tripactions/jobs
greenhouse,veratherapeuticsinc,"Vera Therapeutics, Inc.",10,3,0.3,0,"Associate Director, Drug Substance Manufacturing – Downstream Process",https://boards-api.greenhouse.io/v1/boards/veratherapeuticsinc/jobs
greenhouse,vercel,Vercel,87,3,0.034,0,"Account Executive, Majors (APAC)",https://boards-api.greenhouse.io/v1/boards/vercel/jobs
ashby,Nash,,20,3,0.15,0,Forward Deployed Engineer,https://api.ashbyhq.com/posting-api/job-board/Nash
ashby,beam-up,,23,3,0.13,0,Founding Account Executive ,https://api.ashbyhq.com/posting-api/job-board/beam-up
ashby,dovetail,,4,3,0.75,0,Senior Platform Engineer,https://api.ashbyhq.com/posting-api/job-board/dovetail
ashby,lightspeedhq,,161,3,0.019,0,Account Manager (Capital),https://api.ashbyhq.com/posting-api/job-board/lightspeedhq
ashby,marloo,,9,3,0.333,0,"GTM Associate, Sydney",https://api.ashbyhq.com/posting-api/job-board/marloo
ashby,pluralis-research,,11,3,0.273,0,Academic Collaboration,https://api.ashbyhq.com/posting-api/job-board/pluralis-research
ashby,serverobotics,,34,3,0.088,0,Operations Coordinator ,https://api.ashbyhq.com/posting-api/job-board/serverobotics
ashby,uipath,,118,3,0.025,0,Area Vice-President ANZ,https://api.ashbyhq.com/posting-api/job-board/uipath
ashby,workyard,,4,3,0.75,0,Software Engineer (Sydney),https://api.ashbyhq.com/posting-api/job-board/workyard
smartrecruiters,ConsolidatedPropertyServices,Consolidated Property Services,3,3,1.0,0,Executive Manager,https://api.smartrecruiters.com/v1/companies/ConsolidatedPropertyServices/postings?limit=100
smartrecruiters,INNERGY1,INNERGY,11,3,0.273,0, Customer Success Manager,https://api.smartrecruiters.com/v1/companies/INNERGY1/postings?limit=100
smartrecruiters,Xplor,Xplor,100,3,0.03,0,Sales Development Representative,https://api.smartrecruiters.com/v1/companies/Xplor/postings?limit=100
smartrecruiters,servicenow,ServiceNow,100,3,0.03,0,Sr Enterprise Account Exec - Utilities,https://api.smartrecruiters.com/v1/companies/servicenow/postings?limit=100
greenhouse,adyen,Adyen,230,2,0.009,0,Payments Partnerships Manager,https://boards-api.greenhouse.io/v1/boards/adyen/jobs
greenhouse,alayacare,AlayaCare,19,2,0.105,0,Director Customer Support,https://boards-api.greenhouse.io/v1/boards/alayacare/jobs
greenhouse,algolia,Algolia,30,2,0.067,0,Customer Success Engineer ,https://boards-api.greenhouse.io/v1/boards/algolia/jobs
greenhouse,attentive,Attentive,37,2,0.054,0,"Director, Sales, AUS (Hybrid)",https://boards-api.greenhouse.io/v1/boards/attentive/jobs
greenhouse,brandwatch,Brandwatch,16,2,0.125,0,Account Executive - Melbourne,https://boards-api.greenhouse.io/v1/boards/brandwatch/jobs
greenhouse,carta,Carta,61,2,0.033,0,"Consultant, Contracts",https://boards-api.greenhouse.io/v1/boards/carta/jobs
greenhouse,cockroachlabs,Cockroach Labs,26,2,0.077,0,"Sales Development Representative, Australia",https://boards-api.greenhouse.io/v1/boards/cockroachlabs/jobs
greenhouse,collibra,Collibra,41,2,0.049,0,Senior Account Executive II,https://boards-api.greenhouse.io/v1/boards/collibra/jobs
greenhouse,conga,Conga,43,2,0.047,0,Business Development Representative,https://boards-api.greenhouse.io/v1/boards/conga/jobs
greenhouse,coreview,CoreView,18,2,0.111,0,Account Executive- APAC,https://boards-api.greenhouse.io/v1/boards/coreview/jobs
greenhouse,cribl,Cribl,59,2,0.034,0,"Partner Solutions Engineer, ANZ & ASEAN",https://boards-api.greenhouse.io/v1/boards/cribl/jobs
greenhouse,forter,Forter,37,2,0.054,0,Implementation Engineer,https://boards-api.greenhouse.io/v1/boards/forter/jobs
greenhouse,hasbro,Hasbro,160,2,0.013,0,Commercial Brand Manager,https://boards-api.greenhouse.io/v1/boards/hasbro/jobs
greenhouse,harnessinc,Harness ,77,2,0.026,0,Enterprise Account Executive (Melbourne),https://boards-api.greenhouse.io/v1/boards/harnessinc/jobs
greenhouse,hightouch,Hightouch,81,2,0.025,0,"Enterprise Account Executive, APAC (Japan)",https://boards-api.greenhouse.io/v1/boards/hightouch/jobs
greenhouse,iterable,Iterable,19,2,0.105,0,Mid-Market Customer Success Manager - APAC,https://boards-api.greenhouse.io/v1/boards/iterable/jobs
greenhouse,ivalua,Ivalua,47,2,0.043,0,Account Executive - ANZ,https://boards-api.greenhouse.io/v1/boards/ivalua/jobs
greenhouse,ixllearning,IXL Learning,111,2,0.018,0,"Educational Videos Actor, Australia & New Zealand (Freelance)",https://boards-api.greenhouse.io/v1/boards/ixllearning/jobs
greenhouse,jensenhughes,Jensen Hughes,133,2,0.015,0,Fire Engineering Manager,https://boards-api.greenhouse.io/v1/boards/jensenhughes/jobs
greenhouse,mediabrands,Omnicom Media,211,2,0.009,0,Performance Manager,https://boards-api.greenhouse.io/v1/boards/mediabrands/jobs
greenhouse,netcraft,Netcraft,19,2,0.105,0,APAC Account Manager,https://boards-api.greenhouse.io/v1/boards/netcraft/jobs
greenhouse,pfm,Precision for Medicine,121,2,0.017,0,"Director, Site Start Up",https://boards-api.greenhouse.io/v1/boards/pfm/jobs
greenhouse,pingidentity,Ping Identity,77,2,0.026,0,Sales Development Representative,https://boards-api.greenhouse.io/v1/boards/pingidentity/jobs
greenhouse,placementsio,Placements.io,6,2,0.333,0,Enterprise Account Manager,https://boards-api.greenhouse.io/v1/boards/placementsio/jobs
greenhouse,precisionmedicinegroup,Precision Medicine Group,153,2,0.013,0,"Director, Site Start Up",https://boards-api.greenhouse.io/v1/boards/precisionmedicinegroup/jobs
greenhouse,ripple,Ripple ,131,2,0.015,0,Senior Software Engineer,https://boards-api.greenhouse.io/v1/boards/ripple/jobs
greenhouse,roller,ROLLER,18,2,0.111,0,Director of Editorial & Social Strategy ,https://boards-api.greenhouse.io/v1/boards/roller/jobs
greenhouse,qualtrics,Qualtrics,55,2,0.036,0,Enterprise Account Executive,https://boards-api.greenhouse.io/v1/boards/qualtrics/jobs
greenhouse,stackadapt,StackAdapt,81,2,0.025,0,"Director, Client Services- APAC",https://boards-api.greenhouse.io/v1/boards/stackadapt/jobs
greenhouse,thebrattlegroup,The Brattle Group,43,2,0.047,0,Associate - Securities,https://boards-api.greenhouse.io/v1/boards/thebrattlegroup/jobs
greenhouse,thebrandagency,The Brand Agency,2,2,1.0,0,Account Director,https://boards-api.greenhouse.io/v1/boards/thebrandagency/jobs
greenhouse,thetradedesk,The Trade Desk,167,2,0.012,0,Sr Incident Response Engineer,https://boards-api.greenhouse.io/v1/boards/thetradedesk/jobs
greenhouse,tines,Tines,20,2,0.1,0,Senior Customer Success Manager,https://boards-api.greenhouse.io/v1/boards/tines/jobs
greenhouse,twilio,Twilio,145,2,0.014,0,Account Executive New Business,https://boards-api.greenhouse.io/v1/boards/twilio/jobs
greenhouse,wongdoody,WongDoody,24,2,0.083,0,"(UX) User Experience Designer, Snr.",https://boards-api.greenhouse.io/v1/boards/wongdoody/jobs
ashby,Deepgram,,93,2,0.022,0,Senior Pre-Sales Solutions Engineer (Australia),https://api.ashbyhq.com/posting-api/job-board/Deepgram
ashby,agentis-capital-advisors,,29,2,0.069,0,Investment Banking Associate - Public Private Partnership Transaction ,https://api.ashbyhq.com/posting-api/job-board/agentis-capital-advisors
ashby,amboss,,24,2,0.083,0,Partnership Manager Australia (Medical Doctor),https://api.ashbyhq.com/posting-api/job-board/amboss
ashby,caruso,,4,2,0.5,0,Registry Officer,https://api.ashbyhq.com/posting-api/job-board/caruso
